"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 15 13:36:07 CST 2022","Tue Mar 15 13:36:07 CST 2022","117","","test_identify","TestIdentify","","","test_identify_center_page_false",""
"passed","Tue Mar 15 13:36:28 CST 2022","Tue Mar 15 13:36:28 CST 2022","164","","test_user","TestUser","","","test_user_address_pass",""
"passed","Tue Mar 15 13:36:05 CST 2022","Tue Mar 15 13:36:05 CST 2022","100","","test_goods","TestGoods","","","test_goods_switchyeargoods_goodsid_false",""
"passed","Tue Mar 15 13:36:25 CST 2022","Tue Mar 15 13:36:25 CST 2022","176","","test_store","TestStore","","","test_store_stock_pass",""
"passed","Tue Mar 15 13:36:13 CST 2022","Tue Mar 15 13:36:13 CST 2022","239","","test_order","TestOrder","","","test_order_wait_send_pass",""
"passed","Tue Mar 15 13:36:04 CST 2022","Tue Mar 15 13:36:04 CST 2022","103","","test_goods","TestGoods","","","test_goods_stock_pass",""
"passed","Tue Mar 15 13:36:25 CST 2022","Tue Mar 15 13:36:26 CST 2022","114","","test_store","TestStore","","","test_store2020_pass",""
"passed","Tue Mar 15 13:36:08 CST 2022","Tue Mar 15 13:36:08 CST 2022","119","","test_identify","TestIdentify","","","test_identify_records_orderid_false",""
"passed","Tue Mar 15 13:36:22 CST 2022","Tue Mar 15 13:36:22 CST 2022","129","","test_order","TestOrder","","","test_order_is_can_stock_goodsid_none",""
"passed","Tue Mar 15 13:36:29 CST 2022","Tue Mar 15 13:36:29 CST 2022","144","","test_user","TestUser","","","test_user_address_detail_id_none",""
"passed","Tue Mar 15 13:36:04 CST 2022","Tue Mar 15 13:36:04 CST 2022","113","","test_goods","TestGoods","","","test_goods_rapid_recovery_pass",""
"passed","Tue Mar 15 13:36:24 CST 2022","Tue Mar 15 13:36:24 CST 2022","148","","test_store","TestStore","","","test_store_goods_detail_bn_false",""
"passed","Tue Mar 15 13:36:30 CST 2022","Tue Mar 15 13:36:30 CST 2022","117","","test_user","TestUser","","","test_order_detail_filter_pass",""
